sp_artistid,sp_artistname,sp_followers,sp_popularity
3wGWCP3E3tYqj5memYV9Vq,Bloco do Sargento Pimenta,5169,7
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,4303517,68
62F9BiUmjqeXbBztCwiX1U,Lil Darkie,1547878,67
74ASZWbe4lXaubB36ztrGX,Bob Dylan,6285864,68
5o723EMxNulM5ydXRh7Qkk,The Beatles Complete On Ukulele,2216,13
6w3S2c3TqD9lPPN2qOpHw1,Pussy Galore,11269,11
5oFsjDzNu5UwbtKnGXKacN,Akasha,5356,36
67meObnM9NdAyCO373aaEp,Dale Watson,34853,31
0kbYTNQb4Pb1rPbbaF0pT4,Miles Davis,2458487,59
776Uo845nYHJpNaStv1Ds4,Jimi Hendrix,6417439,67
3EOEK57CV77D4ovYVcmiyt,Dennis Lloyd,657234,63
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,5919171,72
44NX2ffIYHr6D4n7RaZF7A,Van Morrison,3000913,69
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,29186247,80
0f8MDDzIc6M4uH1xH0o0gy,Robert Johnson,560248,42
7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,6299086,72
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,10597776,79
51Blml2LZPmy7TTiAg47vQ,U2,11653893,75
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,13839901,73
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,3826797,72
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,13438664,78
1eYgSi9O2AX4sLhR06HKCz,Jack Russell,6119,22
2eHOlyX9GEmBZw0X7uBiI0,Mrs Henry,660,6
319yZVtYM9MBGqmSQnMyY6,Carole King,1458596,59
5jd0MgoI9F3hxcQHBPEk6V,Bossa Bros,10416,56
5bOsFzuJ6QZMr86ezC4oXY,The Ink Spots,272364,52
3cMInYqk6yzf37zo8iznoz,DNMO,45594,49
22WZ7M8sxp5THdruNY3gXt,The Doors,7494027,70
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,19736089,76
0vYkHhJ48Bs3jWcvZXvOrP,Patti Smith,1052272,54
2hGh5VOeeqimQFxqXvfCUf,John Coltrane,1574098,62
6Mo9PoU6svvhgEum7wh2Nd,Public Enemy,1039278,53
4wQ3PyMz3WwJGI5uEqHUVR,Allman Brothers Band,1544954,60
70cRZdQywnSFp9pnc2WTCE,Simon  Garfunkel,4882400,68
1ZwdS5xdxEREPySFridCfh,2Pac,16502407,77
1eYhYunlNJlDoQhtYBvPsi,Ray Charles,2120309,65
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,8837862,75
3obqIeGrzLJXoOdxatlprm,Kirill Tipo,166,1
4OGuNAnRFWZOgOA2d51taz,Johnnie Taylor,211682,41
3qm84nBOXUEQ2vnTfUTTFC,Guns N Roses,30152047,77
10gzBoINW3cLJfZUka8Zoe,Above  Beyond,777767,58
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,8889874,78
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,5519257,73
2CvCyf1gEVhI0mX6aFXmVI,Paul Simon,2201707,65
0LyfQWJT6nXafLPZqxe9Of,Various Artists,2272831,0
53UQaKaoipgAfPoHqPa3vA,Jaybwoy,16,5
6rmv9eJiqRPvpGQeJ7e6Nk,Mandy Rowden,358,0
7GaxyUddsPok8BuhxN6OUW,James Brown,2087273,60
5a2EaR3hamoenG9rDuVn8j,Prince,7071168,68
711MCceyCBcFnzjGY4Q7Un,ACDC,27540381,78
4x1nvY2FN8jxqAFA0DA02H,John Lennon,5698719,66
6bqijgpAcVn9dEsvEpu4Ck,Clashers Season 2,7,0
5V7NIXgCnX2KuQ01Bxg20c,Of The Trees,74604,46
7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,3236721,67
6lqMXuu8EjQDDyCs89zf7a,Vi Redd,1838,7
6kACVPfCOnqzgfEF5ryl0x,Johnny Cash,6069657,70
5zaXYwewAXedKNCff45U5l,Dusty Springfield,434062,63
2YohShuz0Lf4i09lImCR5r,Georg Erixon,4257,47
6waa8mKu91GjzD4NlONlNJ,The Hollies,1138826,61
1FClsNYBUoNFtGgzeG74dW,Hank Williams,928268,54
67ea9eGLXYMsO2eYQRui3w,The Who,5210732,65
0VEYLlS75s0mdIznsxmwqf,The Imperials,24771,31
2jgPkn6LuUazBoBk6vvjh5,The Zombies,926265,57
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,6646143,74
74oJ4qxwOZvX6oSsu1DGnw,Cream,2251677,61
28j2IaYoLNPDEr3ogCZ4tM,Brendan Maynard  2,123,24
6zO6YtmClhozAfxR05frh2,Marie Miller,6125,15
1co4F2pPNH8JjTutZkmgSm,Ramones,2518057,64
2ijs0jA7fB11WRVE5F5B45,Danny Cody,40,0
6FxuPrpa8phaP3Xn73emhT,The Wood Brothers,219812,46
1bs7HoMkSyQwcobCpE9KpN,The Mamas  The Papas,1646169,65
18fFwzg9EnT0eG1j0IhoeY,Lisa Michelle Anderson,22,0
4zQjIBNXiHAGaOvnAWFrZ2,Dian Sri Pujiastuti,0,0
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,21803836,88
0iOVhN3tnSvgDbcg25JoJb,Etta James,1554286,65
1PCZpxHJz7WAMF8EEq8bfc,The Byrds,956474,53
4HQUFZUKjXhvh9rS23DYzG,Rockers Revenge,1982,18
3CQIn7N5CuRDP8wEI7FiDA,Run‚DMC,1295300,58
5bfqwcEcRrMhtY9smw3IeJ,Dave B,86748,40
2QsynagSdAqZj3U9HgDzjD,Bob Marley  The Wailers,11853519,75
0mBDRW65svvamuKzjyB5uP,Kamban,12057,27
2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,2274642,67
0S7Zur2g8YhqlzqtlYStli,Television,348477,41
7gcq03kJfgHiW2qPTwS6q1,ay3demi,28382,50
7KQRHTFIv5yBauZyAaerXn,MajinBlxxdy,16295,34
1vCWHaC5f2uS3yhpwWbIA6,Avicii,23145950,78
6DPYiyq5kWVQS4RGwxzPC7,Dr Dre,10684538,77
2JRvXPGWiINrnJljNJhG5s,The Meters,263386,47
4tpUmLEVLCGFr93o8hFFIB,Blondie,1348447,67
5xLSa7l4IV1gsQfhAMvl0U,BB King,2636856,59
4EnEZVjo3w1cwcQYePccay,NWA,5309503,62
6P7H3ai06vU1sGvdpBwDmE,Steely Dan,2107280,64
2qFr8w5sWUITRlzZ9kZotF,Jefferson Airplane,1513038,57
1CYsQCypByMVgnv17qsSbQ,Crosby Stills Nash  Young,1613141,54
223IvfSnge3qiGcDMHk2e4,HC McEntire,6607,16
6GI52t8N5F02MxU0g5U69P,Santana,3184353,68
3kjuyTCjPG1WMFCiyc5IuB,Arcade Fire,2233896,62
09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest,1991479,64
0Wxy5Qka8BN9crcFkiAxSR,Howlin Wolf,496790,48
0GByy3DcfbQwDvXGCWmzv9,Pretenders,1445772,60
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,20394579,77
3PhoLpVuITZKcymswpck5b,Elton John,12425620,80
3K2Srho6NCF3o9MswGR76H,Bakar,475447,66
3dBVyJ7JuOMt4GE9607Qin,T Rex,999778,58
60df5JBRRPcnSpsIMxxwQm,Otis Redding,2156373,67
2P5sC9cVZDToPxyomzF1UH,Joey Bada,3221174,70
4qmHkMxr6pTWh5Zo74odpH,Elvis Costello  The Attractions,270960,48
5JvB18ikUg21Uv5MrUBagY,Todd Barriage,4260,26
2BGRfQgtzikz1pzAD0kaEn,Elvis Costello,542306,52
0BEI7i5sgUuivcfwXLzFmM,Serj Tankian,973136,55
2y8Jo9CKhJvtfeKOsYzRdT,Rod Stewart,4416388,69
1eEfMU2AhEo7XnKgL7c304,Carpenters,2997745,64
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,13890399,73
5W5bDNCqJ1jbCgTxDD0Cb3,Willie Nelson,2056994,67
6tbjWDEIzxoDsBA1FuhfPW,Madonna,7303220,77
4BFMTELQyWJU1SwqcXMBm3,The Stooges,592399,48
4f0duKhSmQubrgvVjUAKvh,NXVAMANE,28039,60
3eskO5m0H4yiF64vRySBjr,Buffalo Springfield,772269,60
7DCnwoFMqGN6eZULdcLZeL,Quicksilver Messenger Service,139428,34
5poU7FPEYoBlwjzOEWMbX5,Hand Habits,55054,36
0rESpKEusFHxhW59MIf7eM,The Flying Burrito Brothers,145137,37
7oPftvlwr6VrsViSDV7fJY,Green Day,14405555,78
42TFhl7WlMRXiNqzSrnzPL,Lou Reed,1737897,59
4KWTAlx2RvbpseOGMEmROg,REM,4238777,71
22JuR9OeENcP54XN5TlNWS,Little Walter,203774,43
0epOFNiUfyON9EYx7Tpr6V,The Strokes,5262583,73
0X380XXQSNBYuleKzav5UO,Nine Inch Nails,2420734,63
3HC7NcxQx2Yk0fWoRKJ0xF,Jefferson Starship,979819,46
0FWzNDaEu9jdgcYTbcOa4F,3OH3,957649,60
1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,8459248,71
1vB6BES66rhlsxKlYGpy4H,Joel Tyler Wall,29,0
0WhGV9lzljq2QKJ8ipw6jx,New York Dolls,267232,38
48nwxUvPJZkm8uPa7xMzmj,Bobby Blue Bland,144796,47
3yY2gUcIsjMr8hjo51PoJ8,The Smiths,4651369,74
03r4iKL2g2442PT9n2UKsx,Beastie Boys,2653289,66
3G3Gdm0ZRAOxLrbyjfhii5,my bloody valentine,812074,54
7502fDxg339jvGV08Jd4R0,Jasiah,373973,57
6zvul52xwTWzilBZl6BUbT,Pixies,2695306,68
6jHG1YQkqgojdEzerwvrVv,Eric B  Rakim,654769,49
4KDyYWR7IpxZ7xrdYbKrqY,Bonnie Raitt,670258,55
1dfeR4HaWDbWqFHLkxsg1d,Queen,48690474,81
1SQRv42e4PjEYfPhS0Tk9E,The Kinks,2486902,63
5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,7311338,70
4SDLL3cZT6a7CKfcOreWZm,„„„„Ëπ,11508,22
4wfMyaoM1U8nnEvdI8BZnC,ANTH,147877,48
40HeNm05FEAxGx8gUOV4my,The Soft Moon,103649,34
7dGJo4pcD2V6oG8kP0tJRR,Eminem,77965446,87
0mGyXXKzoR5KAAh4Mkef2W,Teenage Bottlerocket,84064,42
47odibUtrN3lnWx0p0pk2P,Ornette Coleman,125086,31
3nFkdlSjzX9mRTtwJOzDYB,JAYZ,8688212,81
5uLkZ7FWMTBUg1corQqdkR,Lund,525533,55
6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,9690074,73
4qwGe91Bz9K2T8jXTZ815W,Janet Jackson,3764567,62
4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,1752085,62
2pdvghEHZJtgSXZ7cvNLou,Crosby Stills  Nash,1853048,56
7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,1551465,67
24GaH9tRBgZjlvOhpFuKi2,Blood Sweat  Tears,591235,40
4DCZpvZEgPZfg5V8TLMd8B,Freestyle Drum And Bass,4201,4
4rjlerN21ygkIhmUv55irs,The Jesus and Mary Chain,446982,49
3KHdCVMnx4C1LOUdK2KAkF,Tony Halliwell,112,22
6TKOZZDd5uV5KnyC5G4MUt,Smokey Robinson  The Miracles,1170296,54
3DznKagEU8yMQZR9z33Da5,LaBelle,69448,38
5SMVzTJyKFJ7TUb46DglcH,Parliament,785796,48
1XkoF8ryArs86LZvFOkbyr,Mary J Blige,3672003,68
0BqWTpTaA1aGVO3YAhcikj,Nathan Moore,1038,4
621tKWjhDvcdWjXEK1ZA3m,AQuilla,3,0
6DCIj8jNaNpBz8e5oKFPtp,The Cars,1707422,63
54NqjhP2rT524Mi2GicG4K,X,143330,43
19obdpGjGmK4z5SYsW3Z38,Benjamin Miller,48,0
4WquJweZPIK9qcfVFhTKvf,MC5,179890,34
5l8VQNuIg0turYE1VtM9zV,Leonard Cohen,3225355,61
3jfn3YbUZfGMNXj2GePzxu,Lil Baphomet,87,0
1bdnGJxkbIIys5Jhk1T74v,Brandon Lake,342584,67
3nnQpaTvKb5jCQabZefACI,Jeff Buckley,1156199,61
60ht0hWRy1yjUDfNsLuHuP,Lucinda Williams,238455,48
3vbKDsSS70ZX9D2OcvbZmS,Beck,1481294,63
0YSFw7zXzSXhzCIQsiZNvW,The Boy from the South,1774,24
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,6165494,77
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,20253243,80
02NfyD6AlLA12crYzw5YcR,Janes Addiction,1368053,52
6olE6TJLqED3rqDCT0FyPh,Nirvana,18424293,78
2Mu5NfyYm8n5iTomuKAEHl,Ms Lauryn Hill,2624420,69
2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,2361989,66
38h03gA85YYPeDPd9ER9rT,The OJays,1205331,55
1yNOfXGQNGjAynk77wv85x,John Lee Hooker,834141,53
5c3GLXai8YOMid29ZEuR9y,Nick Drake,758874,58
4KJ6jujcNPzOyhdNoiNftp,lovelytheband,411676,55
2fZ2nHEB3va8LTHXX8oKgU,Shadrow,76774,53
0Elm2baWq5dwK5VZJPY8Em,BlueSky Spirits,58,0
7cTFl5VSATz4bYahxNj38p,Audioleptika,289,3
3sxZdmC6MpwbkS8QMQ7fGk,Behold the Void,2913,7
7MnIjILER7AHfZNTvWCwVn,Daydream Nation,502,0
4hw4TPMyAzHqNBcWtoDrK5,Richard  Linda Thompson,30947,32
49r8pxjSDAIDfU0F5eCpV0,Superunknown,56,0
6w6z8m4WXX7Tub4Rb6Lu7R,Jethro Tull,1800141,56
4J69yWrKwWJgjv3DKTZcGo,Big Brother  The Holding Company,265643,52
5Mhs3Eu8lU6sRCtRYsmABV,Black Flag,585225,47
5eIbEEQnDM8yuDVB0bimSP,RL Grime,415181,59
5ket6f4XIg8c3nT5gjQ6Io,Vredehammer,12292,14
7dnB1wSxbYa8CejeVg98hz,Meat Loaf,1084831,59
4K4riuuCLdm8zam6CGw1i4,Kahhh,14,37
5NxG91O2LcOKUktBYVWiWd,Love Ssega,1400,20
1Z8ODXyhEBi3WynYw0Rya6,De La Soul,954264,58
4y6J8jwRAwO4dssiSmN91R,Muddy Waters,1255437,52
2lxX1ivRYp26soIavdG9bX,The Yardbirds,933285,45
15r7EpXfZNfVB8RxujS3CR,Secret Character,2,0
0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,7064765,73
0uzmoK3E1j2Cvl9XkFs1JR,Cory Branan,17228,24
7g9DeYASD3RzlT4kDchsQZ,Gil Evans,30074,32
2DxlS3lTLFIq70S7ap5H3y,Buzzcocks,407852,47
1G9G7WwrXka3Z1r7aIDjI7,Outkast,2395247,72
6Qm9stX6XO1a4c7BXQDDgc,Fruit Bats,168872,52
2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine,5671440,68
2O4jyeF4uyGLsGcjY49zbS,Ruben Hein,14895,34
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,22150839,84
245PKF3hKjtxJKIG153kF0,Kailee Morgue,402385,50
5zjZ00N8eGpEVkqlSWhQOD,Quizzy tyles,12,0
7w29UYBi0qsHi5RTcv3lmA,Bj√rk,1917986,59
2DaxqgrOhkeH0fpeiQq2f4,Oasis,9312889,74
0TImkz4nPqjegtVSMZnMRq,TLC,3759276,66
6ZFv3wQwwWPiVDWhv0mjQK,Toots  The Maytals,461686,50
4EVEDeuMzCoSjdVN3AoIyv,GuyThatDoesMusic,17,0
6GUrCt1ablvH0B5C40ogVp,Bekom,2,0
5dbuFbrHa1SJlQhQX9OUJ2,Don Henley,1530407,60
4F84IBURUo98rz4r61KF70,The White Stripes,2936932,68
5lkiCO9UQ8B23dZ1o0UV4m,Jackson Browne,1293786,58
0QJIPDAEDILuo8AIq3pMuU,MIA,1266574,64
3HQyFCFFfJO3KKBlUfZsyW,Randy Newman,208503,56
066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem,1054960,56
6tBzJqpqRAPyJFR4Rq0yBP,Walter Beasley,70866,39
6DY0dexcQxzOk5piz7kUbg,Vorxdub,124,15
2AM4ilv6UzW0uMRuqKtDgN,ZZ Top,4146050,66
77s45paaVsbPjByV4WjhZe,Demi the Daredevil,11184,35
20qISvAhX20dpIbOOzGK3q,Nas,3470821,71
320TrJub4arztwXRm7kqVO,Dr John,235821,48
3UvcmAOZt64oKpP95f6MMM,Big Star,148677,41
12VaqyEhgwDRuFfEqbnrpz,PJ Harvey,1009587,56
4sD9znwiVFx9cgRPZ42aQ1,Sin√ad OConnor,1134215,60
6PAt558ZEZl0DmdXlnjMgD,Eric Clapton,5578036,68
2PcDPV6gOJt9P7UPVNLQm0,AJHorrible,18,0
0z6zRFzl5njXWLVAisXQBz,Minutemen,150800,43
2mG8HHQ9S9kcbjcrb5N1FE,The GoGos,733466,50
5vvvgOwPjA4R5t07ZXLLwZ,Geographer,71062,35
02PIkpHPVjo32AcS9pemms,The Beats and more,20,0
6liAMWkVf5LH7YR9yfFy1Y,Portishead,1852556,59
7CyeXFnOrfC1N6z4naIpgo,The Ronettes,260580,59
7y70dch6JuuuNnwlsOQvwW,Nitty Gritty Dirt Band,221999,55
1KA3WXYMPLxomNuoE22LYd,Gram Parsons,135410,38
5oJvmyeWzyeahRtjup3Oys,AVAION,123921,60
7MSUfLeTdDEoZiJPDSBXgi,Brian Eno,703334,58
5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,1869144,62
2PhFw7yt46F2dU8PV2eGpz,whoo,7394,13
55Aa2cqylxrFIXC767Z865,Lil Wayne,14134236,83
2IMZYfNi21MGqxopj9fWx8,Rels B,6023016,79
2wzMOQwNT6ZvVB4amvhFAH,The Pogues,492036,52
3YYbAExunnHv5pW7GUZefk,DC The Don,284985,54
0UKfenbZb15sqhfPC6zbt3,DEVO,530687,52
1LB8qB5BPb3MHQrfkvifXU,Cheap Trick,1414710,58
3ICyfoySNDZqtBVmaBT84I,War,425739,54
6QtGlUje9TIkLrgPZrESuk,Steve Miller Band,2894661,65
5esdE6GazQvt6BQMhFLeOA,ISAN IRFANDI,0,0
7Ce1uDyyat0uJpzu7CDaEI,EllieMay Robertson,260,39
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,8562366,72
0nJUwPwC9Ti4vvuJ0q3MfT,John Prine,520251,55
3zpKjsMg2gw1St5WcWoUJN,EPMD,389704,47
3EhbVgyfGd7HkpsagwL9GS,Alice Cooper,3575581,61
6OWapcJm9xd55ci9CYbAuT,Los Lobos,151721,54
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,5184621,71
7tYKF4w9nC0nq9CsPZTHyP,SZA,15522335,87
5SHQUMAmEK5KmuSb0aDvsn,Hole,1071593,57
6QONT9IlJdIzgVKsQZixEy,Rain,29,0
0fgYKF9Avljex0L9Wt5b8Z,Echo  the Bunnymen,857190,53
6H1RjVyNruCmrBEWRbD0VZ,Def Leppard,4649044,66
6RWjTQqILL7a1tQ0VapyLK,The Magnetic Fields,214132,48
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,47824460,85
6kz7WuPaUa4QVreP27I33i,The Paul Butterfield Blues Band,103670,35
2WKdxPFRD7IqZvlIAvhMgY,Fugees,1311268,63
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,13162237,78
7vBNNO5y6Nsunv5cc7mwDZ,Splitting Sommer,0,0
5VX8hxrcfJWwaTLiqGUHG3,TobyMac,1265427,62
37D1QyrEFNkcv0f62xo46x,Eli Paperboy Reed,26595,31
0jgAONnsHxrwAlhkMUVS78,Eddie Rabbitt,386820,52
450o9jw6AtiQlQkHCdH6Ru,Funkadelic,720516,49
336vr2M3Va0FjyvB55lJEd,DAngelo,1190447,57
2UBTfUoLI07iRqGeUrwhZh,Steve Earle,276103,57
3AmWjMXXtBJOmNGpUFSOAl,Gang Of Four,221887,45
2SwCFPOsyW9RLX27oTlw5Z,Phil Pendlebury,10,0
2BTZIqw0ntH9MvilQ3ewNY,Cyndi Lauper,2464433,68
16bN8mhtDFdegWbg0z3s10,H√ºsker D√º,223558,41
07XSN3sPlIlB2L2XNcTwJw,KISS,9010191,69
5aygfDCEaX5KTZOxSCpT9o,Albert King,428155,47
08rMCq2ek1YjdDBsCPVH2s,Amerie,926340,52
2QoU3awHVdcHS8LrZEKvSM,Wilco,726733,58
0SwO7SWeDHJijQ3XNS7xEE,MGMT,2884801,70
14V8ZRhL66NIzXAmYtQ8Vj,Kolton Moore  the Clever Few,52725,55
46njgd2Rq9tZc4ZjeQMgbh,Boz Scaggs,771082,53
1lYT0A0LV5DUfxr6doRP3d,The Stone Roses,1450712,57
6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,771894,68
2cnMpRsOVqtPMfq7YiFE6K,Van Halen,5674513,70
467o5z7PYxbXFAGA0mvhAQ,Arrows in Action,82598,49
2ye2Wgw4gimLv2eAKyk1NB,Metallica,26166861,79
3RGLhK1IP9jnYFH4BRFJBS,The Clash,2605808,66
3CkvROUTQ6nRi9yQOcsB50,Genesis,3156726,65
0U7iI0Dk4Ojvi17nZboNO4,Vacations,751785,70
0pWwt5vGNzezEhfAcc420Y,MrKitty,630290,65
3dfyIXPlHfOFS5SDBMW9KH,Nocturnal Solace,6,0
24Wa5wIZIo1sPkzVGP0B5p,Pete Townshend,369739,44
2LXeJdQVcFkhkWydphLI74,Liz Phair,171943,44
3jOstUTkEu2JkjvRdBA5Gu,Weezer,3250482,70
4STHEaNw4mPZ2tzheohgXB,Paul McCartney,4565695,69
3vldh5Ceynytj6Iglw4haP,Tommy Lefroy,63031,48
7yTltkMBvChBkA86Tz8WfW,The Infamous Stringdusters,100106,37
4L3GTE04bW5N7azA9QPhjA,Beenie Man,480657,57
43sZBwHjahUvgbx1WNIkIz,Creed,3100810,66
1vd7OHxzKOJeFKjN1M7VTb,Drunk Mums,29666,27
09agIJMxCD2k87ys9Al0f0,VIZE,192033,66
341ntJveJBpKhKj316dttw,Mason Horne,14774,34
1ziop6MvACsEsogEf7Qqd4,Dweeb,9955,45
05o2ENqv0CV8aD6BWKEaBD,Drayton Farley,60133,52
0gBvuNzrFCOVaiyKexoYMH,Todrick Hall,402075,52
6LkVV1P1gvsluy7OOZNG7g,NEAT001,25,0
7DEseTqRODmSu3C7jxCHl5,The Boxer Rebellion,109037,42
4pdoRs7yHNXakMobf8M9Oz,SASAMI,61174,33
